Opening grade,Name of department,Major classification,Lecture number,Lecture name,Credits,Applicants numbers,Required minimum numbers,Professor Name,"Lecture time(월=Monday, 화=Tuesday, 수=Wednesday, 목=Thursday, 금=Friday, 월7=오후 3시, 금2=오전 10시, 화1=오전 9시)",Lecture room,비고,강의 평가
3,컴퓨터공학전공,전공필수,101511-1,운영체제,3,79,10,Kim Sun il,"월2,3,화7","T0503,T0502",,"쉬는 시간 5분에 수업 시간 2,3분 초과하시는 경우가 많지만 그거외엔 수업은 들을만 합니다

강의력 좋으시고, 정말 열심히 가르쳐 주십니다.

생각보다 그냥 수업들으면 무슴소린지 이해못할경우가 많아요 예습하고 들으시는거추천

웹엑스 녹강 올려주심 출결 잘해야함 수업이 어려워서 꼭 들어야함"
3,컴퓨터공학전공,전공필수,101511-2,운영체제,3,79,10,Kim Sun il,"월67,화8","T0503,T0502",,"쉬는 시간 5분에 수업 시간 2,3분 초과하시는 경우가 많지만 그거외엔 수업은 들을만 합니다

강의력 좋으시고, 정말 열심히 가르쳐 주십니다.

생각보다 그냥 수업들으면 무슴소린지 이해못할경우가 많아요 예습하고 들으시는거추천

웹엑스 녹강 올려주심 출결 잘해야함 수업이 어려워서 꼭 들어야함"
3,컴퓨터공학전공,전공필수,101511-3,운영체제,3,83,10,Kim Sun il,"월8,화3,4","T0503,T0503",,"쉬는 시간 5분에 수업 시간 2,3분 초과하시는 경우가 많지만 그거외엔 수업은 들을만 합니다

강의력 좋으시고, 정말 열심히 가르쳐 주십니다.

생각보다 그냥 수업들으면 무슴소린지 이해못할경우가 많아요 예습하고 들으시는거추천

웹엑스 녹강 올려주심 출결 잘해야함 수업이 어려워서 꼭 들어야함"
3,컴퓨터공학전공,전공필수,101511-4,운영체제,3,41,10,Lee jangho,"화6,목6,금6","T0503,T0503,T0503",,"시험 공부하기는 수월합니다. 하지만 그만큼 실수와 한문제 한문제에 대한 부담이 너무 커져서 공부는 열심히하게 됩니다..

학점 잘 주십니다.. 수업때 졸아도 중요해요~ 는 꼭 기록하서요

영어로된 ppt만 줄줄 따라가서 정신 안차리면 내용 놓치기 쉬워요. 그래도 양 많지 않고 다른 운체에 비해 쉬워서 좋아요

개인적으로 부담없이 듣기 좋았음 과제도 없고 시험은 중요하다고 하시는 부분위주"
3,컴퓨터공학전공,전공필수,101511-5,운영체제,3,62,10,Lee jangho,"화7,목7,금7","T0503,T0503,T0503",,"시험 공부하기는 수월합니다. 하지만 그만큼 실수와 한문제 한문제에 대한 부담이 너무 커져서 공부는 열심히하게 됩니다..

학점 잘 주십니다.. 수업때 졸아도 중요해요~ 는 꼭 기록하서요

영어로된 ppt만 줄줄 따라가서 정신 안차리면 내용 놓치기 쉬워요. 그래도 양 많지 않고 다른 운체에 비해 쉬워서 좋아요

개인적으로 부담없이 듣기 좋았음 과제도 없고 시험은 중요하다고 하시는 부분위주"
3,컴퓨터공학전공,전공선택,101606-1,오토마타(*),3,82,10,Kwon gunwoo,"화2,수2,목2","T0801,T1001,T0801","3학년 과목이나, 2학년도 수강 가능","그저 빛. 처음 배우는 내용이지만 전혀 배우는데 어려움이 없었다. 최대한 학생들 편의를 봐주려고 하시고 과제도 솔루션이 존재하는 문제들만 내주셔서 부담이 적었다. 시험도 수업때 한 내용만 공부하면 잘 볼수 있는듯

언제나 빛건우 교수님의 수업은 만족스러워요. 수업만 안 놓치고 따라가면 다 이해할 수 있어요

홍대 3년 다니면서 뵌 교수님들 중 최고라 단언함. 수업하실 때 저번 내용 복습도 해주시고, 최대한 알아듣기 쉽게 설명해주심. 과제도 적절한 편

교수님 인성은 그냥 내가만난 인간중에 최고봉 느낌"
3,컴퓨터공학전공,전공선택,101606-2,오토마타(*),3,83,10,Kwon gunwoo,"화3,수3,목3","T0801,T1001,T0801","3학년 과목이나, 2학년도 수강 가능","그저 빛. 처음 배우는 내용이지만 전혀 배우는데 어려움이 없었다. 최대한 학생들 편의를 봐주려고 하시고 과제도 솔루션이 존재하는 문제들만 내주셔서 부담이 적었다. 시험도 수업때 한 내용만 공부하면 잘 볼수 있는듯

언제나 빛건우 교수님의 수업은 만족스러워요. 수업만 안 놓치고 따라가면 다 이해할 수 있어요

홍대 3년 다니면서 뵌 교수님들 중 최고라 단언함. 수업하실 때 저번 내용 복습도 해주시고, 최대한 알아듣기 쉽게 설명해주심. 과제도 적절한 편

교수님 인성은 그냥 내가만난 인간중에 최고봉 느낌"
3,컴퓨터공학전공,전공선택,101613-1,기초데이터베이스,4,85,10,Kim Eunsam,"월6,수7,목23","T0502,T0502,T0502",,"제가 들었던 강의 중에 최고입니다. 실습은 머리아프지만 다른 과목 과제 생각하면 재밌는 편에 속합니다

강의력 정말 좋으시고, 열정있게 잘 가르쳐 주십니다.

홍익대학교에서 들은 수업중 최고 하나를 고르자면 이 수업을 고르겠습니다. 좋은 강의, 실습, 과제 구성이 훌륭해서 시키는 것만 잘 따라가도 공부가 자연스럽게 됩니다.

진짜 강의력도 출중하시고 수업 끝나고 질문해도 정말 잘 답변해주십니다. 강의력이 진짜 사설 인강 듣는 것 같은 느낌이 들 정도로 좋아요!"
3,컴퓨터공학전공,전공선택,101613-2,기초데이터베이스,4,98,10,Kim Eunsam,"월7,수8,목56","T0101,T0101,T0101",,
3,컴퓨터공학전공,전공선택,101613-3,기초데이터베이스,4,91,10,Kim Eunsam,"월8,수9,목89","T0101,T0101,T0101",,
